type,adh_last_name,adh_first_name,adh_birth_date,adh_gender,adh_mail,adh_street_address,adh_postcode,adh_city,adh_telephone,adh_iban,adh_bic_code,adh_bank_name,adh_bank_adress,adh_bank_postcode,adh_bank_city,adh_bank_country_code
adherent,APE Hoarau,Nath,2001-07-19,FEMALE,nath.apehoarau@fakemail.com,11 avenue de Hebert,49144,Jacquot,06.29.90.33.25,FR7610107000003540574556583,CCBPFRPP,Banque Populaire,41 boulevard Boulanger,52893,Aubert,FR
adherent,APE Jacob,Marianne,1993-08-20,FEMALE,marianne.apejacob@fakemail.com,36 boulevard Benoit,76139,Guyot,06.44.80.05.99,FR7611315000005927230844159,CEPAFRPP,Caisse d'Epargne,67 chemin Munoz,45170,Coste-sur-Bernard,FR
adherent,APE Breton,Franck,1982-05-23,MALE,franck.apebreton@fakemail.com,38 avenue de Charrier,13388,Berthelot,06.25.68.33.90,FR7611808000008306945108585,CMBRFR2B,Crédit Mutuel,344 avenue Vincent,30189,Descamps,FR
adherent,APE Millet,Sebastien,1961-11-26,MALE,sebastien.apemillet@fakemail.com,88 chemin Millet,44667,Barre,06.11.93.99.47,FR7630006000006302746646323,AGRIFRPP,Crédit Agricole,459 avenue Adrien Ramos,23464,Lecomte-sur-Aubry,FR
adherent,APE Lopez,Zacharie,1993-04-21,MALE,zacharie.apelopez@fakemail.com,85 chemin Mercier,60897,Sainte Margaud,06.45.89.06.76,FR7630056000003737632380827,CCFRFRCR,HSBC,34 chemin de Charrier,61972,Mallet,FR
adherent,APE Samson,Virginie,2001-09-13,FEMALE,virginie.apesamson@fakemail.com,49 rue Hubert,25844,Lefebvre-les-Bains,06.77.40.48.65,FR7630006000007093565089943,AGRIFRPP,Crédit Agricole,259 rue Fabre,03583,Garnier-sur-Turpin,FR
adherent,APE Lesage,Laetitia,1996-01-22,FEMALE,laetitia.apelesage@fakemail.com,13 chemin Auguste Reynaud,20230,Lemonnierboeuf,06.35.81.98.81,FR7630004000008307132079645,BNPAFRPP,BNP Paribas,48 chemin Lombard,11435,Labbe,FR
adherent,APE Goncalves,Alphonse,1999-09-26,MALE,alphonse.apegoncalves@fakemail.com,128 avenue Samson,93355,Sainte Capucinedan,06.94.73.18.94,FR7611315000004871059712020,CEPAFRPP,Caisse d'Epargne,544 rue Valentin,20651,Sainte Virginieboeuf,FR
adherent,APE Pruvost,Alexandre,1999-10-12,MALE,alexandre.apepruvost@fakemail.com,1 rue de Wagner,68965,Dubois,06.23.38.59.52,FR7630004000009150487887238,BNPAFRPP,BNP Paribas,46 avenue Gillet,41852,Payet,FR
adherent,APE Charles,Denise,2000-08-23,FEMALE,denise.apecharles@fakemail.com,12 boulevard de Lelievre,97325,Sainte ClaireVille,06.41.18.95.11,FR7612548000007331923156882,AXABFRPP,AXA Banque,22 chemin Lacombe,43638,Chretien,FR
adherent,APE Bousquet,Theodore,1999-03-29,MALE,theodore.apebousquet@fakemail.com,3 chemin de Benard,41409,Bousquet,06.96.39.82.78,FR7630056000001848374879983,CCFRFRCR,HSBC,7 boulevard de Gonzalez,46850,Sainte GerardVille,FR
