type,date_creation,adh_last_name,adh_first_name,adh_birth_date,adh_gender,adh_mail,adh_street_address,adh_postcode,adh_city,adh_telephone,adh_iban,adh_bic_code,adh_bank_name,adh_bank_adress,adh_bank_postcode,adh_bank_city,adh_bank_country_code,ent_company_name,ent_siret,ent_statut,ent_naf,ent_telephone,ent_city,ent_postcode,ent_street_address,ent_mail,ent_iban,ent_bic_code,ent_bank_name,ent_bank_adress,ent_bank_postcode,ent_bank_city,ent_bank_country_code,contrat_sante_code,contrat_sante_date,contrat_prev_code,contrat_prev_date
affiliation,2021-01-01,APE Denis,Theodore,1988-01-10,MALE,theodore.apedenis@fakemail.com,52 rue Blanc,09777,Saint Christophe,06.25.80.92.60,FR7612548000009879426906132,AXABFRPP,AXA Banque,97 rue de Collin,23185,Saint Philippine,FR,APE Delannoy SAS,07963170100988,SAS,4299Z,06.42.26.32.02,Gimenez-les-Bains,40710,36 boulevard de Caron,apedelannoysas@fakemail.com,FR7611808000007540354175127,CMBRFR2B,Crédit Mutuel,195 avenue Charpentier,79646,Lefort,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Blanchet,Bernard,1964-05-17,MALE,bernard.apeblanchet@fakemail.com,28 chemin de Lecomte,10847,Jacquot,06.87.29.41.84,FR7611808000004891244740844,CMBRFR2B,Crédit Mutuel,95 rue Alain Roussel,48327,PoulainVille,FR,APE Collet SA,70852329500481,SA,4221Z,06.35.40.60.80,Rousseau,65762,10 boulevard de Pinto,apecolletsa@fakemail.com,FR7612548000003698853951885,AXABFRPP,AXA Banque,97 rue Lemonnier,20657,Dialloboeuf,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Leger,Julie,2000-04-29,FEMALE,julie.apeleger@fakemail.com,640 rue de Roux,52843,LebrunVille,06.87.46.56.25,FR7612548000006200697693422,AXABFRPP,AXA Banque,81 chemin de Leduc,31724,Roux,FR,APE Legrand Laporte et Fils SARL,68428852500257,SARL,4399C,06.16.98.94.25,Andre,94356,4 boulevard Georges Guillet,apelegrandlaporteetfilssarl@fakemail.com,FR7610107000008169747134566,CCBPFRPP,Banque Populaire,494 rue Mary,42537,Launay-la-Foret,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Hoarau,Cecile,2001-06-14,FEMALE,cecile.apehoarau@fakemail.com,50 avenue de Seguin,36675,Pinto-sur-Brunel,06.23.69.09.29,FR7630002000007939380912952,CRLYFRPP,Crédit Lyonnais (LCL),36 rue Leon Rodrigues,65686,Sauvageboeuf,FR,APE Francois SARL,80562995300151,SARL,4213A,06.77.28.88.13,Diazboeuf,50932,33 rue Bernard,apefrancoissarl@fakemail.com,FR7611315000006044859875869,CEPAFRPP,Caisse d'Epargne,695 boulevard de Lecomte,85154,Rouxnec,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Munoz,Maryse,2004-03-26,FEMALE,maryse.apemunoz@fakemail.com,495 boulevard Aurore Grondin,75428,Morel-sur-Gilbert,06.89.71.03.14,FR7630004000002186901159423,BNPAFRPP,BNP Paribas,5 boulevard Edouard Dumas,03777,Henry-sur-Menard,FR,APE Marion SAS,71849882700853,SAS,4212Z,06.75.74.77.65,Regnier,20895,94 boulevard Cecile Chauvet,apemarionsas@fakemail.com,FR7612548000002521688025388,AXABFRPP,AXA Banque,14 chemin Marion,93375,Riviere,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Charrier,Paulette,1976-08-13,FEMALE,paulette.apecharrier@fakemail.com,4 boulevard Leblanc,14499,DelaunayVille,06.50.87.12.30,FR7630006000007813597763290,AGRIFRPP,Crédit Agricole,790 rue Teixeira,38389,Hoareaudan,FR,APE Delahaye SA,13210157700675,SA,4399D,06.00.08.10.64,Besnard,57992,50 chemin Baudry,apedelahayesa@fakemail.com,FR7611315000001078653870437,CEPAFRPP,Caisse d'Epargne,3 boulevard Veronique Legendre,66586,Meunierboeuf,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Martin,Noemi,1992-12-01,FEMALE,noemi.apemartin@fakemail.com,162 boulevard Leclercq,04317,Hamel,06.16.55.97.43,FR7612548000004125976559626,AXABFRPP,AXA Banque,6 avenue de Klein,01353,Gomezdan,FR,APE Vaillant Blot SA,84594340600841,SA,4399D,06.79.67.26.38,Marchal,75107,88 rue Bernard,apevaillantblotsa@fakemail.com,FR7610107000004555784883451,CCBPFRPP,Banque Populaire,49 boulevard Marion,02827,Sainte Eugene,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Martin,Christophe,1995-04-25,MALE,christophe.apemartin@fakemail.com,31 boulevard Remy,70946,Bigot,06.56.56.93.64,FR7611315000009014825850691,CEPAFRPP,Caisse d'Epargne,785 chemin Charpentier,48272,Delmas-sur-Collin,FR,APE Perrier et Fils SAS,14725553300464,SAS,4213A,06.38.54.20.62,Dumas-la-Foret,20441,62 boulevard de Thierry,apeperrieretfilssas@fakemail.com,FR7610011000003000819488408,PSSTFRPP,La Banque Postale,17 boulevard Jean Vidal,80968,GuilbertBourg,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Simon,Benoit,1961-07-24,MALE,benoit.apesimon@fakemail.com,39 rue Aimee Riou,49839,Robinboeuf,06.99.80.33.55,FR7610011000008846391339030,PSSTFRPP,La Banque Postale,820 rue Marguerite Perrot,40803,Delmas,FR,APE Gerard Hardy SAS,97240565800105,SAS,4399D,06.40.40.30.27,Mathieu,07576,997 rue Patricia Langlois,apegerardhardysas@fakemail.com,FR7611808000001568417837127,CMBRFR2B,Crédit Mutuel,55 rue de Samson,88353,Lemaire,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Normand,Pierre,1967-08-27,MALE,pierre.apenormand@fakemail.com,3 rue Theophile Joly,37457,Lamy,06.03.37.69.12,FR7630006000001849007993830,AGRIFRPP,Crédit Agricole,217 rue de Lefort,18537,Moulin,FR,APE Dupuis SARL,70380868300113,SARL,4120B,06.22.54.11.32,Couturier,84633,62 boulevard de Reynaud,apedupuissarl@fakemail.com,FR7610011000003284938847922,PSSTFRPP,La Banque Postale,83 boulevard de Hebert,34499,Saint Odette,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Guerin,Christine,2003-05-17,FEMALE,christine.apeguerin@fakemail.com,73 avenue de Gilbert,95572,Wagner-la-Foret,06.11.52.75.30,FR7630056000004666369849781,CCFRFRCR,HSBC,8 chemin Marcelle Barre,46522,Sainte Virginie,FR,APE Lemonnier SA,41248795100458,SA,4120A,06.56.32.37.00,Gillet,74406,146 chemin Ledoux,apelemonniersa@fakemail.com,FR7630001000003422267139828,AGRIFRPP,Banque de France,25 boulevard de Lecoq,61449,Barthelemy,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Riviere,Paul,1968-03-13,MALE,paul.aperiviere@fakemail.com,62 boulevard Paul Marques,45703,LebretonBourg,06.44.12.80.85,FR7630001000008254430927656,AGRIFRPP,Banque de France,13 rue de Pineau,17110,Le Gall,FR,APE Valette SA,74170735000244,SA,4222Z,06.45.20.35.23,Jacquotdan,32215,8 rue de Vallet,apevalettesa@fakemail.com,FR7630004000004982141177514,BNPAFRPP,BNP Paribas,48 boulevard Hoarau,70495,Dupuisdan,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Payet,Hortense,1971-03-29,FEMALE,hortense.apepayet@fakemail.com,639 rue de Besson,35189,Begue,06.18.24.35.66,FR7610011000006086150997321,PSSTFRPP,La Banque Postale,3 avenue Faivre,41879,Briand,FR,APE Diallo SARL,36364315600799,SARL,4399D,06.88.51.64.28,Garcianec,08131,709 rue Thibault,apediallosarl@fakemail.com,FR7612548000005181122153445,AXABFRPP,AXA Banque,1 chemin Denis Buisson,52208,Raynauddan,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Guichard,Danielle,2001-06-03,FEMALE,danielle.apeguichard@fakemail.com,42 chemin Devaux,31194,Bousquet,06.60.67.19.45,FR7630006000004851859926085,AGRIFRPP,Crédit Agricole,20 rue de Bertin,56423,Saint Martine-les-Bains,FR,APE Bourdon SARL,08286464600185,SARL,4399D,06.25.91.87.55,Sainte Celine-sur-Mer,84528,11 rue Corinne Guerin,apebourdonsarl@fakemail.com,FR7610011000001642141162170,PSSTFRPP,La Banque Postale,55 avenue Lopez,54821,Blanchet,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
affiliation,2021-01-01,APE Gay,Sophie,1988-11-25,FEMALE,sophie.apegay@fakemail.com,66 avenue de Robert,72874,Mercier,06.84.05.77.45,FR7630056000007542247261464,CCFRFRCR,HSBC,43 rue de Rossi,80418,Mathieu,FR,APE Lacroix SA,98104352400306,SA,4213B,06.43.51.82.24,Dupontnec,17939,7 avenue Julien Alves,apelacroixsa@fakemail.com,FR7630006000009883535221224,AGRIFRPP,Crédit Agricole,204 chemin Lopez,47609,Paul-sur-Mer,FR,SCSPS-ARCHI,2022-01-01,PCSPS-ARCHI,2021-01-01
