type,date_creation,ent_company_name,ent_siret,ent_statut,ent_naf,ent_telephone,ent_city,ent_postcode,ent_street_address,ent_mail,ent_iban,ent_bic_code,ent_bank_name,ent_bank_adress,ent_bank_postcode,ent_bank_city,ent_bank_country_code
entreprise,2022-12-11,APE Lambert SARL,02906354200400,SARL,4291Z,06.91.27.34.98,Brunnec,17497,84 rue de Lejeune,apelambertsarl@fakemail.com,FR7610011000003456669603151,PSSTFRPP,La Banque Postale,7 rue Alphonse Buisson,07751,Leroyboeuf,FR
entreprise,2022-12-11,APE Bailly SAS,89666153500915,SAS,4120A,06.63.28.26.32,Begue-sur-Leleu,66733,673 boulevard Klein,apebaillysas@fakemail.com,FR7630001000006511935693244,AGRIFRPP,Banque de France,21 rue de Aubry,45532,Gomez,FR
entreprise,2022-12-11,APE Gaudin SARL,70718250700129,SARL,4299Z,06.49.83.79.19,Sainte AlexVille,44461,7 rue de Adam,apegaudinsarl@fakemail.com,FR7612548000002780812623558,AXABFRPP,AXA Banque,97 avenue de Meunier,38664,Perriernec,FR
entreprise,2022-12-11,APE Maury SA,90814965100162,SA,4299Z,06.46.13.94.46,PrevostVille,63406,24 rue Bertrand,apemaurysa@fakemail.com,FR7630006000005363258859332,AGRIFRPP,Crédit Agricole,459 chemin Alix Giraud,18709,GuichardVille,FR
entreprise,2022-12-11,APE Albert Huet SARL,50372767900444,SARL,4299Z,06.68.02.73.72,Collin,97210,22 rue de Klein,apealberthuetsarl@fakemail.com,FR7610107000001468172824610,CCBPFRPP,Banque Populaire,91 rue Suzanne Dias,65851,Saint RaymondVille,FR
entreprise,2022-12-11,APE Allain SARL,12643045300830,SARL,4211Z,06.36.14.19.34,Morvandan,45356,20 avenue Delattre,apeallainsarl@fakemail.com,FR7630004000001321141371731,BNPAFRPP,BNP Paribas,31 boulevard de Hebert,65801,Bourgeois,FR
entreprise,2022-12-11,APE Le Goff SARL,09570493800950,SARL,4120B,06.35.99.50.88,Sainte Michellenec,27749,91 boulevard de Adam,apelegoffsarl@fakemail.com,FR7630004000003103989866464,BNPAFRPP,BNP Paribas,956 boulevard de Lelievre,87669,Sainte BertrandVille,FR
entreprise,2022-12-11,APE Chauveau SA,58680163100746,SA,4222Z,06.86.18.13.60,Guilbert-les-Bains,08114,547 rue de Chauveau,apechauveausa@fakemail.com,FR7630056000003569870816128,CCFRFRCR,HSBC,957 rue Remy,65304,Rousseau,FR
entreprise,2022-12-11,APE Bertin SAS,84360519700451,SAS,4399C,06.57.86.56.43,Andre,97380,99 avenue Genevieve Reynaud,apebertinsas@fakemail.com,FR7630056000007059618943668,CCFRFRCR,HSBC,1 chemin de Cordier,11517,Sainte Patricia,FR
entreprise,2022-12-11,APE Boulanger Leger SA,08826412200859,SA,4211Z,06.57.38.08.60,Sainte Stephanie,61319,75 chemin Lefort,apeboulangerlegersa@fakemail.com,FR7630056000001920351718009,CCFRFRCR,HSBC,601 rue de Bousquet,43690,Perez,FR
entreprise,2022-12-11,APE Dupuy SA,00238481600985,SA,4212Z,06.50.23.45.53,Boulay,91590,16 rue de Teixeira,apedupuysa@fakemail.com,FR7611808000008366193919242,CMBRFR2B,Crédit Mutuel,35 avenue de Gimenez,97453,Carre,FR
entreprise,2022-12-11,APE Allard Pottier SARL,27273940000005,SARL,4213A,06.27.08.69.97,Davidboeuf,50996,525 chemin de Courtois,apeallardpottiersarl@fakemail.com,FR7612548000007529985147603,AXABFRPP,AXA Banque,20 chemin de Dupuy,97149,Vidal,FR
entreprise,2022-12-11,APE Marty SA,05705155900680,SA,4221Z,06.80.59.04.58,Baudry,90512,946 rue de Jacquet,apemartysa@fakemail.com,FR7630004000003665371940187,BNPAFRPP,BNP Paribas,873 rue Techer,51166,Bourdon,FR
entreprise,2022-12-11,APE Delahaye SARL,67280778100857,SARL,4120A,06.92.55.32.66,Paulnec,02709,49 rue Bouvet,apedelahayesarl@fakemail.com,FR7630002000001080308172961,CRLYFRPP,Crédit Lyonnais (LCL),5 rue Antoinette Boulay,53322,Besson,FR
